journal,issn,cas_partition,quality_tier,source,note
CELL BIOCHEMISTRY AND BIOPHYSICS,1085-9195,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.0; eissn=1559-0283; url=https://www.iikx.com/sci/biology/11214.html
CELL BIOCHEMISTRY AND FUNCTION,0263-6484,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.5; eissn=1099-0844; url=https://www.iikx.com/sci/biology/11215.html
CELL STRESS & CHAPERONES,1355-8145,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.1; eissn=1466-1268; url=https://www.iikx.com/sci/biology/11228.html
CELLS TISSUES ORGANS,1422-6405,Q2,,iikx biology api,CAS biology class; subclass=解剖学与形态学; IF2024=2.2; eissn=1422-6421; url=https://www.iikx.com/sci/biology/11231.html
CELLULAR SIGNALLING,0898-6568,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.7; eissn=1873-3913; url=https://www.iikx.com/sci/biology/11244.html
CHEMISTRY AND PHYSICS OF LIPIDS,0009-3084,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.0; eissn=1873-2941; url=https://www.iikx.com/sci/biology/11317.html
CHROMOSOME RESEARCH,0967-3849,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.6; eissn=1573-6849; url=https://www.iikx.com/sci/biology/11380.html
CHRONOBIOLOGY INTERNATIONAL,0742-0528,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.5; eissn=1525-6073; url=https://www.iikx.com/sci/biology/11382.html
CONTRIBUTIONS TO ZOOLOGY,1383-4517,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.8; eissn=1875-9866; url=https://www.iikx.com/sci/biology/11695.html
CRISPR Journal,2573-1599,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.6; eissn=2573-1602; url=https://www.iikx.com/sci/biology/34400.html
CRYOBIOLOGY,0011-2240,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.6; eissn=1090-2392; url=https://www.iikx.com/sci/biology/11740.html
CRYPTOGAMIE ALGOLOGIE,0181-1568,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=2.3; eissn=1776-0984; url=https://www.iikx.com/sci/biology/11744.html
CURRENT GENOMICS,1389-2029,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.0; eissn=1875-5488; url=https://www.iikx.com/sci/biology/11773.html
CURRENT ISSUES IN MOLECULAR BIOLOGY,1467-3037,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.1; eissn=1467-3045; url=https://www.iikx.com/sci/biology/11776.html
CURRENT OPINION IN CELL BIOLOGY,0955-0674,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=6.2; eissn=1879-0410; url=https://www.iikx.com/sci/biology/11791.html
CYTOMETRY PART A,1552-4922,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=2.9; eissn=1552-4930; url=https://www.iikx.com/sci/biology/11858.html
Capillarity,2709-2119,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=6.7; eissn=2652-3310; url=https://www.iikx.com/sci/biology/72702.html
Cell Adhesion & Migration,1933-6918,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.3; eissn=1933-6926; url=https://www.iikx.com/sci/biology/18007.html
Cell Division,N/A,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.9; eissn=1747-1028; url=https://www.iikx.com/sci/biology/17918.html
Cells,N/A,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=6.0; eissn=2073-4409; url=https://www.iikx.com/sci/biology/19561.html
Cells & Development,2667-2901,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=2.5; eissn=2667-2901; url=https://www.iikx.com/sci/biology/31335.html
Cells and Development,2667-2901,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=2.5; eissn=2667-2901; url=https://www.iikx.com/sci/biology/69186.html
Cellular Reprogramming,2152-4971,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=2.7; eissn=2152-4998; url=https://www.iikx.com/sci/biology/11243.html
Cellular and Molecular Bioengineering,1865-5025,Q2,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=3.5; eissn=1865-5033; url=https://www.iikx.com/sci/biology/11234.html
Channels,1933-6950,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.0; eissn=1933-6969; url=https://www.iikx.com/sci/biology/11271.html
Comparative Biochemistry and Physiology D-Genomics & Proteomics,1744-117X,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.9; eissn=1878-0407; url=https://www.iikx.com/sci/biology/11576.html
Computational and Structural Biotechnology Journal,2001-0370,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.8; eissn=2001-0370; url=https://www.iikx.com/sci/biology/19572.html
Current Clinical Microbiology Reports,2196-5471,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=4.6; eissn=2196-5471; url=https://www.iikx.com/sci/biology/27161.html
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,1435-1951,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.4; eissn=1522-2403; url=https://www.iikx.com/sci/biology/11899.html
DEVELOPMENTAL DYNAMICS,1058-8388,Q2,,iikx biology api,CAS biology class; subclass=解剖学与形态学; IF2024=1.5; eissn=1097-0177; url=https://www.iikx.com/sci/biology/11912.html
DNA AND CELL BIOLOGY,1044-5498,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.6; eissn=1557-7430; url=https://www.iikx.com/sci/biology/11978.html
DNA REPAIR,1568-7864,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.2; eissn=1568-7856; url=https://www.iikx.com/sci/biology/11979.html
DNA RESEARCH,1340-2838,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=2.8; eissn=1756-1663; url=https://www.iikx.com/sci/biology/11980.html
Database-The Journal of Biological Databases and Curation,1758-0463,Q2,,iikx biology api,CAS biology class; subclass=数学与计算生物学; IF2024=2.7; eissn=1758-0463; url=https://www.iikx.com/sci/biology/18030.html
Diversity-Basel,N/A,Q2,,iikx biology api,CAS biology class; subclass=生物多样性保护; IF2024=2.3; eissn=1424-2818; url=https://www.iikx.com/sci/biology/36693.html
ECOLOGICAL ENTOMOLOGY,0307-6946,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.8; eissn=1365-2311; url=https://www.iikx.com/sci/biology/12051.html
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.9; eissn=1570-7458; url=https://www.iikx.com/sci/biology/12169.html
ENVIRONMENTAL ENTOMOLOGY,0046-225X,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.8; eissn=1938-2936; url=https://www.iikx.com/sci/biology/12190.html
ENVIRONMENTAL MICROBIOLOGY,1462-2912,Q2,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=4.0; eissn=1462-2920; url=https://www.iikx.com/sci/biology/12197.html
ENZYME AND MICROBIAL TECHNOLOGY,0141-0229,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.9; eissn=1879-0909; url=https://www.iikx.com/sci/biology/12215.html
ETHOLOGY,0179-1613,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=1.3; eissn=1439-0310; url=https://www.iikx.com/sci/biology/12251.html
EUROPEAN JOURNAL OF CELL BIOLOGY,0171-9335,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=4.3; eissn=1618-1298; url=https://www.iikx.com/sci/biology/12279.html
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,0934-9723,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=3.2; eissn=1435-4373; url=https://www.iikx.com/sci/biology/33614.html
EUROPEAN JOURNAL OF ENTOMOLOGY,N/A,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.4; eissn=1802-8829; url=https://www.iikx.com/sci/biology/12293.html
EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=2.2; eissn=1469-4433; url=https://www.iikx.com/sci/biology/12339.html
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=1.8; eissn=1439-0574; url=https://www.iikx.com/sci/biology/12351.html
EVOLUTION & DEVELOPMENT,1520-541X,Q2,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=2.4; eissn=1525-142X; url=https://www.iikx.com/sci/biology/12380.html
Ecology and Evolution,2045-7758,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.6; eissn=2045-7758; url=https://www.iikx.com/sci/biology/18336.html
Emu-Austral Ornithology,0158-4197,Q2,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.3; eissn=1448-5540; url=https://www.iikx.com/sci/biology/12121.html
Endangered Species Research,1863-5407,Q2,,iikx biology api,CAS biology class; subclass=生物多样性保护; IF2024=2.6; eissn=1613-4796; url=https://www.iikx.com/sci/biology/19188.html
Epigenetics,1559-2294,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.7; eissn=1559-2308; url=https://www.iikx.com/sci/biology/12222.html
Epigenomics,1750-1911,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.1; eissn=1750-192X; url=https://www.iikx.com/sci/biology/17944.html
Ethnobiology Letters,2159-8126,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=1.3; eissn=2159-8126; url=https://www.iikx.com/sci/biology/31182.html
European Journal of Microbiology and Immunology,2062-8633,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=4.3; eissn=2062-8633; url=https://www.iikx.com/sci/biology/25503.html
European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=2.3; eissn=1872-7654; url=https://www.iikx.com/sci/biology/37155.html
European Journal of Taxonomy,N/A,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.5; eissn=2118-9773; url=https://www.iikx.com/sci/biology/18953.html
European Zoological Journal,2475-0263,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.9; eissn=2475-0263; url=https://www.iikx.com/sci/other/19742.html
EvoDevo,N/A,Q2,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=2.6; eissn=2041-9139; url=https://www.iikx.com/sci/biology/18344.html
Evolutionary Applications,1752-4571,Q2,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=3.2; eissn=1752-4571; url=https://www.iikx.com/sci/biology/12382.html
Evolutionary Biology,0071-3260,Q2,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=2.6; eissn=1934-2845; url=https://www.iikx.com/sci/biology/12384.html
Expert Review of Proteomics,1478-9450,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=2.9; eissn=1744-8387; url=https://www.iikx.com/sci/biology/12435.html
FEBS Journal,1742-464X,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.2; eissn=1742-4658; url=https://www.iikx.com/sci/biology/12456.html
FEBS LETTERS,0014-5793,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.1; eissn=1873-3468; url=https://www.iikx.com/sci/biology/12457.html
FEMS MICROBIOLOGY ECOLOGY,0168-6496,Q2,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=4.1; eissn=1574-6941; url=https://www.iikx.com/sci/biology/12459.html
FEMS YEAST RESEARCH,1567-1356,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.5; eissn=1567-1364; url=https://www.iikx.com/sci/biology/12462.html
FLORA,0367-2530,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.2; eissn=1618-0585; url=https://www.iikx.com/sci/biology/12499.html
FLORIDA ENTOMOLOGIST,0015-4040,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.5; eissn=1938-5102; url=https://www.iikx.com/sci/biology/12500.html
FOLIA ZOOLOGICA,0139-7893,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=0.0; eissn=1573-1189; url=https://www.iikx.com/sci/biology/12519.html
FUNCTIONAL & INTEGRATIVE GENOMICS,1438-793X,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=4.0; eissn=1438-7948; url=https://www.iikx.com/sci/biology/12594.html
FUNCTIONAL PLANT BIOLOGY,1445-4408,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.9; eissn=1445-4416; url=https://www.iikx.com/sci/biology/12599.html
FUNGAL GENETICS AND BIOLOGY,1087-1845,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.0; eissn=1096-0937; url=https://www.iikx.com/sci/biology/12607.html
Frontiers in Bioscience-Landmark,2768-6701,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.1; eissn=2768-6698; url=https://www.iikx.com/sci/biology/12580.html
Frontiers in Genetics,N/A,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.0; eissn=1664-8021; url=https://www.iikx.com/sci/biology/19407.html
Frontiers in Molecular Biosciences,N/A,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.4; eissn=2296-889X; url=https://www.iikx.com/sci/biology/27502.html
GENE,0378-1119,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=2.7; eissn=1879-0038; url=https://www.iikx.com/sci/biology/12635.html
GENESIS,1526-954X,Q2,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=2.8; eissn=1526-968X; url=https://www.iikx.com/sci/biology/12652.html
GENOMICS,0888-7543,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=3.6; eissn=1089-8646; url=https://www.iikx.com/sci/biology/12671.html
Genes,N/A,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.1; eissn=2073-4425; url=https://www.iikx.com/sci/biology/18969.html
Genes and Nutrition,1555-8932,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=2.8; eissn=1865-3499; url=https://www.iikx.com/sci/biology/12648.html
Genome Biology and Evolution,1759-6653,Q2,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=3.3; eissn=1759-6653; url=https://www.iikx.com/sci/biology/12669.html
Geobiology,1472-4677,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.7; eissn=1472-4669; url=https://www.iikx.com/sci/biology/12675.html
Global Change Biology Bioenergy,1757-1693,Q2,,iikx biology api,CAS biology class; subclass=农艺学; IF2024=4.9; eissn=1757-1707; url=https://www.iikx.com/sci/biology/12628.html
HEREDITAS,1601-5223,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=2.6; eissn=1601-5223; url=https://www.iikx.com/sci/biology/19661.html
HEREDITY,0018-067X,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.6; eissn=1365-2540; url=https://www.iikx.com/sci/biology/12841.html
HERPETOLOGICAL MONOGRAPHS,0733-1347,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.6; eissn=1938-5137; url=https://www.iikx.com/sci/biology/12845.html
HISTOLOGY AND HISTOPATHOLOGY,0213-3911,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=2.2; eissn=1699-5848; url=https://www.iikx.com/sci/biology/12865.html
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,0018-442X,Q2,,iikx biology api,CAS biology class; subclass=人类学; IF2024=1.1; eissn=1618-1301; url=https://www.iikx.com/sci/biology/22596.html
HUMAN BIOLOGY,0018-7143,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=0.0; eissn=1534-6617; url=https://www.iikx.com/sci/biology/12900.html
HUMAN GENETICS,0340-6717,Q2,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=3.4; eissn=1432-1203; url=https://www.iikx.com/sci/biology/12906.html
HUMAN MOLECULAR GENETICS,0964-6906,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.1; eissn=1460-2083; url=https://www.iikx.com/sci/biology/12909.html
HYDROBIOLOGIA,0018-8158,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=2.4; eissn=1573-5117; url=https://www.iikx.com/sci/biology/12920.html
Human Vaccines & Immunotherapeutics,2164-5515,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=4.2; eissn=2164-554X; url=https://www.iikx.com/sci/biology/34151.html
IMA Fungus,2210-6340,Q2,,iikx biology api,CAS biology class; subclass=真菌学; IF2024=4.0; eissn=2210-6359; url=https://www.iikx.com/sci/biology/19396.html
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1054-5476,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=2.2; eissn=1475-2689; url=https://www.iikx.com/sci/biology/13125.html
INSECT SYSTEMATICS & EVOLUTION,1399-560X,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.9; eissn=1876-312X; url=https://www.iikx.com/sci/biology/13226.html
INSECTES SOCIAUX,0020-1812,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.7; eissn=1420-9098; url=https://www.iikx.com/sci/biology/13227.html
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,0964-8305,Q2,,iikx biology api,CAS biology class; subclass=生物工程与应用微生物; IF2024=4.4; eissn=1879-0208; url=https://www.iikx.com/sci/biology/13259.html
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,1357-2725,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.5; eissn=1878-5875; url=https://www.iikx.com/sci/biology/13303.html
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,0967-0874,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.5; eissn=1366-5863; url=https://www.iikx.com/sci/biology/13476.html
INTERNATIONAL JOURNAL OF PRIMATOLOGY,0164-0291,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.3; eissn=1573-8604; url=https://www.iikx.com/sci/biology/13489.html
Infectious Disease Modelling,N/A,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=3.1; eissn=2468-0427; url=https://www.iikx.com/sci/biology/29271.html
Innate Immunity,1753-4259,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.5; eissn=1753-4267; url=https://www.iikx.com/sci/biology/13214.html
JAC-Antimicrobial Resistance,N/A,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=3.9; eissn=2632-1823; url=https://www.iikx.com/sci/biology/29279.html
JOURNAL OF APICULTURAL RESEARCH,0021-8839,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.9; eissn=2078-6913; url=https://www.iikx.com/sci/biology/13756.html
JOURNAL OF APPLIED ENTOMOLOGY,0931-2048,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.8; eissn=1439-0418; url=https://www.iikx.com/sci/biology/13768.html
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1226-8615,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.5; eissn=1876-7990; url=https://www.iikx.com/sci/biology/18703.html
JOURNAL OF BACTERIOLOGY,0021-9193,Q2,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=3.8; eissn=1098-5530; url=https://www.iikx.com/sci/biology/13820.html
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1095-6670,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.6; eissn=1099-0461; url=https://www.iikx.com/sci/biology/13824.html
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,0145-479X,Q2,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=3.7; eissn=1573-6881; url=https://www.iikx.com/sci/biology/13826.html
JOURNAL OF BIOLOGICAL CHEMISTRY,N/A,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.1; eissn=1083-351X; url=https://www.iikx.com/sci/biology/13829.html
JOURNAL OF BIOLOGICAL RHYTHMS,0748-7304,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=3.0; eissn=1552-4531; url=https://www.iikx.com/sci/biology/13835.html
JOURNAL OF BIOMECHANICS,0021-9290,Q2,,iikx biology api,CAS biology class; subclass=生物物理; IF2024=2.9; eissn=1873-2380; url=https://www.iikx.com/sci/biology/13840.html
JOURNAL OF BIOMOLECULAR NMR,0925-2738,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.1; eissn=1573-5001; url=https://www.iikx.com/sci/biology/13848.html
JOURNAL OF CELL BIOLOGY,0021-9525,Q2,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=6.1; eissn=1540-8140; url=https://www.iikx.com/sci/biology/13891.html
JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=1.3; eissn=1557-8666; url=https://www.iikx.com/sci/biology/13988.html
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,0920-654X,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.0; eissn=1573-4951; url=https://www.iikx.com/sci/biology/13998.html
JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=1.4; eissn=1937-240X; url=https://www.iikx.com/sci/biology/14018.html
JOURNAL OF ETHNOBIOLOGY,0278-0771,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=1.5; eissn=2162-4496; url=https://www.iikx.com/sci/biology/18719.html
JOURNAL OF ETHOLOGY,0289-0771,Q2,,iikx biology api,CAS biology class; subclass=行为科学; IF2024=1.5; eissn=1439-5444; url=https://www.iikx.com/sci/biology/14126.html
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,Q2,,iikx biology api,CAS biology class; subclass=生态学; IF2024=2.1; eissn=1879-1697; url=https://www.iikx.com/sci/biology/14139.html
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1552-5007,Q2,,iikx biology api,CAS biology class; subclass=发育生物学; IF2024=1.7; eissn=1552-5015; url=https://www.iikx.com/sci/biology/14148.html
JOURNAL OF FISH BIOLOGY,N/A,Q2,,iikx biology api,CAS biology class; subclass=渔业; IF2024=1.9; eissn=1095-8649; url=https://www.iikx.com/sci/biology/14157.html
JOURNAL OF HYMENOPTERA RESEARCH,1070-9428,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.7; eissn=1314-2607; url=https://www.iikx.com/sci/biology/14277.html
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,1367-5435,Q2,,iikx biology api,CAS biology class; subclass=; IF2024=4.5; eissn=1476-5535; url=https://www.iikx.com/sci/biology/34482.html
JOURNAL OF INORGANIC BIOCHEMISTRY,0162-0134,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=3.1; eissn=1873-3344; url=https://www.iikx.com/sci/biology/14309.html
JOURNAL OF LIPID RESEARCH,0022-2275,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.9; eissn=1539-7262; url=https://www.iikx.com/sci/biology/14358.html
JOURNAL OF MAMMALOGY,0022-2372,Q2,,iikx biology api,CAS biology class; subclass=动物学; IF2024=1.7; eissn=1545-1542; url=https://www.iikx.com/sci/biology/14376.html
JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=2.7; eissn=1432-1416; url=https://www.iikx.com/sci/biology/14403.html
JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=2.1; eissn=1938-2928; url=https://www.iikx.com/sci/biology/14423.html
JOURNAL OF MEMBRANE BIOLOGY,0022-2631,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.6; eissn=1432-1424; url=https://www.iikx.com/sci/biology/14438.html
JOURNAL OF MICROBIOLOGY,1225-8873,Q2,,iikx biology api,CAS biology class; subclass=微生物学; IF2024=3.8; eissn=1976-3794; url=https://www.iikx.com/sci/biology/14444.html
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,1684-1182,Q2,,iikx biology api,CAS biology class; subclass=免疫学; IF2024=3.8; eissn=1995-9133; url=https://www.iikx.com/sci/biology/14446.html
JOURNAL OF MICROPALAEONTOLOGY,0262-821X,Q2,,iikx biology api,CAS biology class; subclass=古生物学; IF2024=1.8; eissn=2041-4978; url=https://www.iikx.com/sci/biology/14450.html
JOURNAL OF MOLECULAR BIOLOGY,0022-2836,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.7; eissn=1089-8638; url=https://www.iikx.com/sci/biology/14460.html
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1093-3263,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=3.1; eissn=1873-4243; url=https://www.iikx.com/sci/biology/14466.html
JOURNAL OF NATURAL PRODUCTS,0163-3864,Q2,,iikx biology api,CAS biology class; subclass=药物化学; IF2024=3.7; eissn=1520-6025; url=https://www.iikx.com/sci/biology/14497.html
JOURNAL OF PLANKTON RESEARCH,0142-7873,Q2,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=2.0; eissn=1464-3774; url=https://www.iikx.com/sci/biology/14674.html
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0971-7811,Q2,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=2.0; eissn=0974-1275; url=https://www.iikx.com/sci/biology/14675.html
JOURNAL OF PLANT BIOLOGY,1226-9239,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.7; eissn=1867-0725; url=https://www.iikx.com/sci/biology/14676.html
JOURNAL OF PLANT RESEARCH,0918-9440,Q2,,iikx biology api,CAS biology class; subclass=植物科学; IF2024=2.2; eissn=1618-0860; url=https://www.iikx.com/sci/biology/14685.html
JOURNAL OF PROTEOME RESEARCH,1535-3893,Q2,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=3.8; eissn=1535-3907; url=https://www.iikx.com/sci/biology/14709.html
JOURNAL OF RAPTOR RESEARCH,0892-1016,Q2,,iikx biology api,CAS biology class; subclass=鸟类学; IF2024=1.3; eissn=2162-4569; url=https://www.iikx.com/sci/biology/14733.html
JOURNAL OF REPRODUCTION AND DEVELOPMENT,0916-8818,Q2,,iikx biology api,CAS biology class; subclass=奶制品与动物科学; IF2024=2.1; eissn=1348-4400; url=https://www.iikx.com/sci/biology/14743.html
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X,Q2,,iikx biology api,CAS biology class; subclass=昆虫学; IF2024=1.4; eissn=1943-6270; url=https://www.iikx.com/sci/biology/14869.html
JOURNAL OF THE HISTORY OF BIOLOGY,0022-5010,Q2,,iikx biology api,CAS biology class; subclass=生物学; IF2024=0.7; eissn=1573-0387; url=https://www.iikx.com/sci/biology/14917.html
